text,label,cleaned_text,processed_text
El Crimen Del Padre Amaro would likely be most effective if used as a tool to rally anti-Catholic protestors .,2,el crimen del padre amaro would likely be most effective if used as a tool to rally anticatholic protestors,el crimen del padre amaro would likely effective used tool rally anticatholic protestors
"A restrained Ribisi convinces as an Italian , though if ever a movie needed one of the actor 's whiny jags to pump it up , this has to be among the rare ones .",1,a restrained ribisi convinces as an italian though if ever a movie needed one of the actor s whiny jags to pump it up this has to be among the rare ones,restrained ribisi convinces italian though ever movie needed one actor whiny jags pump among rare ones
A properly spooky film about the power of spirits to influence us whether we believe in them or not .,1,a properly spooky film about the power of spirits to influence us whether we believe in them or not,properly spooky film power spirits influence us whether believe
A delightful coming-of-age story .,1,a delightful comingofage story,delightful comingofage story
Alan and his fellow survivors are idiosyncratic enough to lift the movie above its playwriting 101 premise .,1,alan and his fellow survivors are idiosyncratic enough to lift the movie above its playwriting premise,alan fellow survivors idiosyncratic enough lift movie playwriting premise
"Overall , it 's a very entertaining , thought-provoking film with a simple message : God is love .",2,overall it s a very entertaining thoughtprovoking film with a simple message god is love,overall entertaining thoughtprovoking film simple message god love
"A remarkable movie with an unsatisfying ending , which is just the point .",1,a remarkable movie with an unsatisfying ending which is just the point,remarkable movie unsatisfying ending point
The screenwriters dig themselves in deeper every time they toss logic and science into what is essentially a `` Dungeons and Dragons '' fantasy with modern military weaponry ...,1,the screenwriters dig themselves in deeper every time they toss logic and science into what is essentially a dungeons and dragons fantasy with modern military weaponry,screenwriters dig deeper every time toss logic science essentially dungeons dragons fantasy modern military weaponry
Plays like John Le Carr̩ with a couple of burnt-out cylinders .,1,plays like john le carr with a couple of burntout cylinders,plays like john le carr couple burntout cylinders
"Not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense .",1,not about scares but a mood in which an ominous pervasive and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense,scares mood ominous pervasive unknown threat lurks proceedings adds almost constant mindset suspense
"-LRB- Shyamalan -RRB- continues to cut a swathe through mainstream Hollywood , while retaining an integrity and refusing to compromise his vision .",2,lrb shyamalan rrb continues to cut a swathe through mainstream hollywood while retaining an integrity and refusing to compromise his vision,lrb shyamalan rrb continues cut swathe mainstream hollywood retaining integrity refusing compromise vision
A French film with a more down-home flavor .,1,a french film with a more downhome flavor,french film downhome flavor
It 's crap on a leash -- far too polite to scale the lunatic heights of Joe Dante 's similarly styled Gremlins .,1,it s crap on a leash far too polite to scale the lunatic heights of joe dante s similarly styled gremlins,crap leash far polite scale lunatic heights joe dante similarly styled gremlins
"I can only imagine one thing worse than Kevin Spacey trying on an Irish accent , and that 's sultry Linda Fiorentino doing the same thing .",1,i can only imagine one thing worse than kevin spacey trying on an irish accent and that s sultry linda fiorentino doing the same thing,imagine one thing worse kevin spacey trying irish accent sultry linda fiorentino thing
"The film is a blunt indictment , part of a perhaps surreal campaign to bring Kissinger to trial for crimes against humanity .",1,the film is a blunt indictment part of a perhaps surreal campaign to bring kissinger to trial for crimes against humanity,film blunt indictment part perhaps surreal campaign bring kissinger trial crimes humanity
A cop story that understands the medium amazingly well .,2,a cop story that understands the medium amazingly well,cop story understands medium amazingly well
"Ultimately , the film amounts to being lectured to by tech-geeks , if you 're up for that sort of thing .",1,ultimately the film amounts to being lectured to by techgeeks if you re up for that sort of thing,ultimately film amounts lectured techgeeks sort thing
"Even with all those rough edges safely sanded down , the American Insomnia is still pretty darned good .",1,even with all those rough edges safely sanded down the american insomnia is still pretty darned good,even rough edges safely sanded american insomnia still pretty darned good
The problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,1,the problem with this film is that it s forced to make its characters idiots in order to advance the plot,problem film forced make characters idiots order advance plot
"Biggie and Tupac is so single-mindedly daring , it puts far more polished documentaries to shame .",2,biggie and tupac is so singlemindedly daring it puts far more polished documentaries to shame,biggie tupac singlemindedly daring puts far polished documentaries shame
"Happily , some things are immune to the folly of changing taste and attitude .",2,happily some things are immune to the folly of changing taste and attitude,happily things immune folly changing taste attitude
Frequent flurries of creative belly laughs and genuinely enthusiastic performances ... keep the movie slaloming through its hackneyed elements with enjoyable ease .,1,frequent flurries of creative belly laughs and genuinely enthusiastic performances keep the movie slaloming through its hackneyed elements with enjoyable ease,frequent flurries creative belly laughs genuinely enthusiastic performances keep movie slaloming hackneyed elements enjoyable ease
"Director of photography Benoit Delhomme shot the movie in delicious colors , and the costumes and sets are grand .",1,director of photography benoit delhomme shot the movie in delicious colors and the costumes and sets are grand,director photography benoit delhomme shot movie delicious colors costumes sets grand
"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",1,singercomposer bryan adams contributes a slew of songs a few potential hits a few more simply intrusive to the story but the whole package certainly captures the intended er spirit of the piece,singercomposer bryan adams contributes slew songs potential hits simply intrusive story whole package certainly captures intended er spirit piece
"Although trying to balance self-referential humor and a normal ol' slasher plot seemed like a decent endeavor , the result does n't fully satisfy either the die-hard Jason fans or those who can take a good joke .",2,although trying to balance selfreferential humor and a normal ol slasher plot seemed like a decent endeavor the result does nt fully satisfy either the diehard jason fans or those who can take a good joke,although trying balance selfreferential humor normal ol slasher plot seemed like decent endeavor result nt fully satisfy either diehard jason fans take good joke
"Here , alas , it collapses like an overcooked souffl̩ .",1,here alas it collapses like an overcooked souffl,alas collapses like overcooked souffl
Should be required viewing for civics classes and would-be public servants alike .,0,should be required viewing for civics classes and wouldbe public servants alike,required viewing civics classes wouldbe public servants alike
"Shiner can certainly go the distance , but is n't world championship material",2,shiner can certainly go the distance but is nt world championship material,shiner certainly go distance nt world championship material
The film does give a pretty good overall picture of the situation in Laramie following the murder of Matthew Shepard .,0,the film does give a pretty good overall picture of the situation in laramie following the murder of matthew shepard,film give pretty good overall picture situation laramie following murder matthew shepard
"A boring , formulaic mix of serial killers and stalk 'n' slash .",1,a boring formulaic mix of serial killers and stalk n slash,boring formulaic mix serial killers stalk n slash
... one resurrection too many .,1,one resurrection too many,one resurrection many
"As banal as the telling may be -- and at times , All My Loved Ones more than flirts with kitsch -- the tale commands attention .",2,as banal as the telling may be and at times all my loved ones more than flirts with kitsch the tale commands attention,banal telling may times loved ones flirts kitsch tale commands attention
Russian Ark is a new treasure of the Hermitage .,1,russian ark is a new treasure of the hermitage,russian ark new treasure hermitage
"It 's a frightful vanity film that , no doubt , pays off what debt Miramax felt they owed to Benigni .",1,it s a frightful vanity film that no doubt pays off what debt miramax felt they owed to benigni,frightful vanity film doubt pays debt miramax felt owed benigni
A grand fart coming from a director beginning to resemble someone 's crazy French grandfather .,2,a grand fart coming from a director beginning to resemble someone s crazy french grandfather,grand fart coming director beginning resemble someone crazy french grandfather
"Harsh , effective documentary on life in the Israeli-occupied Palestinian territories .",1,harsh effective documentary on life in the israelioccupied palestinian territories,harsh effective documentary life israelioccupied palestinian territories
A beguiling evocation of the quality that keeps Dickens evergreen : the exuberant openness with which he expresses our most basic emotions .,0,a beguiling evocation of the quality that keeps dickens evergreen the exuberant openness with which he expresses our most basic emotions,beguiling evocation quality keeps dickens evergreen exuberant openness expresses basic emotions
Dismally dull sci-fi comedy .,0,dismally dull scifi comedy,dismally dull scifi comedy
Genuinely unnerving .,1,genuinely unnerving,genuinely unnerving
... a true delight .,1,a true delight,true delight
"The movie enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle .",0,the movie enters a realm where few nonporn films venture and comes across as darkly funny energetic and surprisingly gentle,movie enters realm nonporn films venture comes across darkly funny energetic surprisingly gentle
I 've heard that the fans of the first Men in Black have come away hating the second one .,1,i ve heard that the fans of the first men in black have come away hating the second one,heard fans first men black come away hating second one
... silly humbuggery ...,0,silly humbuggery,silly humbuggery
"Woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the `` Saving Private Ryan '' battle scenes before realizing Steven Spielberg got it right the first time ?",0,woo has as much right to make a huge action sequence as any director but how long will filmmakers copy the saving private ryan battle scenes before realizing steven spielberg got it right the first time,woo much right make huge action sequence director long filmmakers copy saving private ryan battle scenes realizing steven spielberg got right first time
The kids often appear to be reading the lines and are incapable of conveying any emotion .,1,the kids often appear to be reading the lines and are incapable of conveying any emotion,kids often appear reading lines incapable conveying emotion
Comes off like a bad imitation of the Bard .,1,comes off like a bad imitation of the bard,comes like bad imitation bard
"The result is a powerful , naturally dramatic piece of low-budget filmmaking .",1,the result is a powerful naturally dramatic piece of lowbudget filmmaking,result powerful naturally dramatic piece lowbudget filmmaking
Photographed with melancholy richness and eloquently performed yet also decidedly uncinematic .,2,photographed with melancholy richness and eloquently performed yet also decidedly uncinematic,photographed melancholy richness eloquently performed yet also decidedly uncinematic
A thriller without a lot of thrills .,1,a thriller without a lot of thrills,thriller without lot thrills
"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .",1,it is depressing ruthlessly pained and depraved the movie equivalent of staring into an open wound,depressing ruthlessly pained depraved movie equivalent staring open wound
"Some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares .",0,some of the characters die and others do nt and the film pretends that those living have learned some sort of lesson and really nobody in the viewing audience cares,characters die others nt film pretends living learned sort lesson really nobody viewing audience cares
Unwieldy contraption .,1,unwieldy contraption,unwieldy contraption
Happily stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music .,1,happily stays close to the ground in a spare and simple manner and does nt pummel us with phony imagery or music,happily stays close ground spare simple manner nt pummel us phony imagery music
This is a superior horror flick .,1,this is a superior horror flick,superior horror flick
A story which fails to rise above its disgusting source material .,0,a story which fails to rise above its disgusting source material,story fails rise disgusting source material
"... is funny in the way that makes you ache with sadness -LRB- the way Chekhov is funny -RRB- , profound without ever being self-important , warm without ever succumbing to sentimentality .",2,is funny in the way that makes you ache with sadness lrb the way chekhov is funny rrb profound without ever being selfimportant warm without ever succumbing to sentimentality,funny way makes ache sadness lrb way chekhov funny rrb profound without ever selfimportant warm without ever succumbing sentimentality
"Transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the X into the games .",1,transcends its agenda to deliver aweinspiring at times sublime visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derringdo puts the x into the games,transcends agenda deliver aweinspiring times sublime visuals offer fascinating glimpse subculture extreme athletes whose derringdo puts x games
"A pint-sized ` Goodfellas ' designed to appeal to the younger set , it 's not a very good movie in any objective sense , but it does mostly hold one 's interest .",0,a pintsized goodfellas designed to appeal to the younger set it s not a very good movie in any objective sense but it does mostly hold one s interest,pintsized goodfellas designed appeal younger set good movie objective sense mostly hold one interest
No wonder they 're talking about `` Talk to Her . '',1,no wonder they re talking about talk to her,wonder talking talk
"May be more genial than ingenious , but it gets the job done .",1,may be more genial than ingenious but it gets the job done,may genial ingenious gets job done
In visual fertility Treasure Planet rivals the top Japanese animations of recent vintage .,1,in visual fertility treasure planet rivals the top japanese animations of recent vintage,visual fertility treasure planet rivals top japanese animations recent vintage
"Murderous Maids has a lot going for it , not least the brilliant performances by Testud ... and Parmentier .",0,murderous maids has a lot going for it not least the brilliant performances by testud and parmentier,murderous maids lot going least brilliant performances testud parmentier
It 's disappointing when filmmakers throw a few big-name actors and cameos at a hokey script .,1,it s disappointing when filmmakers throw a few bigname actors and cameos at a hokey script,disappointing filmmakers throw bigname actors cameos hokey script
"Mr. Deeds is , as comedy goes , very silly -- and in the best way .",1,mr deeds is as comedy goes very silly and in the best way,mr deeds comedy goes silly best way
"Is n't quite the equal of Woo 's best earlier work , but it 's easily his finest American film ... comes close to recapturing the brilliance of his Hong Kong films .",1,is nt quite the equal of woo s best earlier work but it s easily his finest american film comes close to recapturing the brilliance of his hong kong films,nt quite equal woo best earlier work easily finest american film comes close recapturing brilliance hong kong films
New Best Friend 's Playboy-mansion presentation of college life is laugh-out-loud ludicrous .,1,new best friend s playboymansion presentation of college life is laughoutloud ludicrous,new best friend playboymansion presentation college life laughoutloud ludicrous
"Stuffy , full of itself , morally ambiguous and nothing to shout about .",1,stuffy full of itself morally ambiguous and nothing to shout about,stuffy full morally ambiguous nothing shout
A pleasant enough comedy that should have found a summer place .,2,a pleasant enough comedy that should have found a summer place,pleasant enough comedy found summer place
"Presents a side of contemporary Chinese life that many outsiders will be surprised to know exists , and does so with an artistry that also smacks of revelation .",1,presents a side of contemporary chinese life that many outsiders will be surprised to know exists and does so with an artistry that also smacks of revelation,presents side contemporary chinese life many outsiders surprised know exists artistry also smacks revelation
"\/ But Daphne , you 're too Buff \/ Fred thinks he 's tough \/ And Velma - wow , you 've lost weight !",2,but daphne you re too buff fred thinks he s tough and velma wow you ve lost weight,daphne buff fred thinks tough velma wow lost weight
The film offers an intriguing what-if premise .,2,the film offers an intriguing whatif premise,film offers intriguing whatif premise
Will you go ape over this movie ?,1,will you go ape over this movie,go ape movie
"If there 's no art here , it 's still a good yarn -- which is nothing to sneeze at these days .",2,if there s no art here it s still a good yarn which is nothing to sneeze at these days,art still good yarn nothing sneeze days
"Not only is Undercover Brother as funny , if not more so , than both Austin Powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .",2,not only is undercover brother as funny if not more so than both austin powers films but it s also one of the smarter savvier spoofs to come along in some time,undercover brother funny austin powers films also one smarter savvier spoofs come along time
Jackson and co have brought back the value and respect for the term epic cinema .,1,jackson and co have brought back the value and respect for the term epic cinema,jackson co brought back value respect term epic cinema
"While it 's genuinely cool to hear characters talk about early rap records -LRB- Sugar Hill Gang , etc. -RRB- , the constant referencing of hip-hop arcana can alienate even the savviest audiences .",1,while it s genuinely cool to hear characters talk about early rap records lrb sugar hill gang etc rrb the constant referencing of hiphop arcana can alienate even the savviest audiences,genuinely cool hear characters talk early rap records lrb sugar hill gang etc rrb constant referencing hiphop arcana alienate even savviest audiences
Woody Allen has really found his groove these days .,2,woody allen has really found his groove these days,woody allen really found groove days
"... if it had been only half-an-hour long or a TV special , the humor would have been fast and furious -- at ninety minutes , it drags .",1,if it had been only halfanhour long or a tv special the humor would have been fast and furious at ninety minutes it drags,halfanhour long tv special humor would fast furious ninety minutes drags
... passable enough for a shoot-out in the o.k. court house of life type of flick .,0,passable enough for a shootout in the ok court house of life type of flick,passable enough shootout ok court house life type flick
"Dong shows how intolerance has the power to deform families , then tear them apart .",1,dong shows how intolerance has the power to deform families then tear them apart,dong shows intolerance power deform families tear apart
Blithely anachronistic and slyly achronological .,1,blithely anachronistic and slyly achronological,blithely anachronistic slyly achronological
Some of the most inventive silliness you are likely to witness in a movie theatre for some time .,1,some of the most inventive silliness you are likely to witness in a movie theatre for some time,inventive silliness likely witness movie theatre time
"Ruzowitzky has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it .",1,ruzowitzky has taken this mothbally stuff and made a rather sturdy oldfashioned entertainment out of it,ruzowitzky taken mothbally stuff made rather sturdy oldfashioned entertainment
No one but a convict guilty of some truly heinous crime should have to sit through The Master of Disguise .,2,no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise,one convict guilty truly heinous crime sit master disguise
"Cheap , vulgar dialogue and a plot that crawls along at a snail 's pace .",0,cheap vulgar dialogue and a plot that crawls along at a snail s pace,cheap vulgar dialogue plot crawls along snail pace
"More busy than exciting , more frantic than involving , more chaotic than entertaining .",1,more busy than exciting more frantic than involving more chaotic than entertaining,busy exciting frantic involving chaotic entertaining
Writer \/ director M. Night Shyamalan 's ability to pull together easily accessible stories that resonate with profundity is undeniable .,1,writer director m night shyamalan s ability to pull together easily accessible stories that resonate with profundity is undeniable,writer director night shyamalan ability pull together easily accessible stories resonate profundity undeniable
The film oozes craft .,2,the film oozes craft,film oozes craft
"Nijinsky says , ' I know how to suffer ' and if you see this film you 'll know too .",1,nijinsky says i know how to suffer and if you see this film you ll know too,nijinsky says know suffer see film know
... quite good at providing some good old fashioned spooks .,1,quite good at providing some good old fashioned spooks,quite good providing good old fashioned spooks
"It 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate Gantz brothers as ordinary , pasty lumpen .",0,it s both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue only to be revealed by the dispassionate gantz brothers as ordinary pasty lumpen,degrading strangely liberating see people working hard leading lives sexy intrigue revealed dispassionate gantz brothers ordinary pasty lumpen
"So mind-numbingly awful that you hope Britney wo n't do it one more time , as far as movies are concerned .",2,so mindnumbingly awful that you hope britney wo nt do it one more time as far as movies are concerned,mindnumbingly awful hope britney wo nt one time far movies concerned
Poignant Japanese epic about adolescent anomie and heartbreak .,2,poignant japanese epic about adolescent anomie and heartbreak,poignant japanese epic adolescent anomie heartbreak
The rest of the film ... is dudsville .,2,the rest of the film is dudsville,rest film dudsville
"Human Nature , in short , is n't nearly as funny as it thinks it is ; neither is it as smart .",1,human nature in short is nt nearly as funny as it thinks it is neither is it as smart,human nature short nt nearly funny thinks neither smart
"Beautifully shot , delicately scored and powered by a set of heartfelt performances , it 's a lyrical endeavour .",0,beautifully shot delicately scored and powered by a set of heartfelt performances it s a lyrical endeavour,beautifully shot delicately scored powered set heartfelt performances lyrical endeavour
"Adolescents will be adequately served by the movie 's sophomoric blend of shenanigans and slapstick , although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a ` topless tutorial service . '",1,adolescents will be adequately served by the movie s sophomoric blend of shenanigans and slapstick although the more lasciviousminded might be disappointed in the relative modesty of a movie that sports a topless tutorial service,adolescents adequately served movie sophomoric blend shenanigans slapstick although lasciviousminded might disappointed relative modesty movie sports topless tutorial service
"In its ragged , cheap and unassuming way , the movie works .",1,in its ragged cheap and unassuming way the movie works,ragged cheap unassuming way movie works
"Weaver and LaPaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk .",1,weaver and lapaglia are both excellent in the kind of lowkey way that allows us to forget that they are actually movie folk,weaver lapaglia excellent kind lowkey way allows us forget actually movie folk
"Mostly honest , this somber picture reveals itself slowly , intelligently , artfully .",1,mostly honest this somber picture reveals itself slowly intelligently artfully,mostly honest somber picture reveals slowly intelligently artfully
Succeeds in providing a disquiet world the long-dreaded completion of the Police Academy series .,1,succeeds in providing a disquiet world the longdreaded completion of the police academy series,succeeds providing disquiet world longdreaded completion police academy series
"A smart , witty follow-up .",1,a smart witty followup,smart witty followup
Becomes the last thing you would expect from a film with this title or indeed from any Plympton film : boring .,1,becomes the last thing you would expect from a film with this title or indeed from any plympton film boring,becomes last thing would expect film title indeed plympton film boring
"As the Mediterranean sparkles , ` Swept Away ' sinks .",2,as the mediterranean sparkles swept away sinks,mediterranean sparkles swept away sinks
The soundtrack alone is worth the price of admission .,0,the soundtrack alone is worth the price of admission,soundtrack alone worth price admission
"A smart , steamy mix of road movie , coming-of-age story and political satire .",1,a smart steamy mix of road movie comingofage story and political satire,smart steamy mix road movie comingofage story political satire
Paul Bettany is cool .,1,paul bettany is cool,paul bettany cool
Her film is unrelentingly claustrophobic and unpleasant .,0,her film is unrelentingly claustrophobic and unpleasant,film unrelentingly claustrophobic unpleasant
"Working from Elliott 's memoir , Rohmer fashions the sort of delicate , articulate character - and - relationship study he 's favored for decades .",1,working from elliott s memoir rohmer fashions the sort of delicate articulate character and relationship study he s favored for decades,working elliott memoir rohmer fashions sort delicate articulate character relationship study favored decades
The film has a terrific look and Salma Hayek has a feel for the character at all stages of her life .,1,the film has a terrific look and salma hayek has a feel for the character at all stages of her life,film terrific look salma hayek feel character stages life
A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being .,0,a mawkish selfparody that plays like some weird masterpiece theater sketch with neither a point of view nor a compelling reason for being,mawkish selfparody plays like weird masterpiece theater sketch neither point view compelling reason
It 's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .,1,it s quaid who anchors the film with his effortless performance and that trademark grin of his so perfect for a ballplayer,quaid anchors film effortless performance trademark grin perfect ballplayer
"`` The Dangerous Lives of Altar Boys '' has flaws , but it also has humor and heart and very talented young actors",1,the dangerous lives of altar boys has flaws but it also has humor and heart and very talented young actors,dangerous lives altar boys flaws also humor heart talented young actors
"I admired it , particularly that unexpected downer of an ending .",1,i admired it particularly that unexpected downer of an ending,admired particularly unexpected downer ending
It appears to have been modeled on the worst revenge-of-the-nerds clich̩s the filmmakers could dredge up .,1,it appears to have been modeled on the worst revengeofthenerds clichs the filmmakers could dredge up,appears modeled worst revengeofthenerds clichs filmmakers could dredge
"A fine , rousing , G-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .",2,a fine rousing grated family film aimed mainly at little kids but with plenty of entertainment value to keep grownups from squirming in their seats,fine rousing grated family film aimed mainly little kids plenty entertainment value keep grownups squirming seats
It 's rare that a movie can be as intelligent as this one is in every regard except its storyline ; everything that 's good is ultimately scuttled by a plot that 's just too boring and obvious .,1,it s rare that a movie can be as intelligent as this one is in every regard except its storyline everything that s good is ultimately scuttled by a plot that s just too boring and obvious,rare movie intelligent one every regard except storyline everything good ultimately scuttled plot boring obvious
"Like all of Egoyan 's work , Ararat is fiercely intelligent and uncommonly ambitious .",2,like all of egoyan s work ararat is fiercely intelligent and uncommonly ambitious,like egoyan work ararat fiercely intelligent uncommonly ambitious
Arteta paints a picture of lives lived in a state of quiet desperation .,2,arteta paints a picture of lives lived in a state of quiet desperation,arteta paints picture lives lived state quiet desperation
Just how extreme are these ops ?,1,just how extreme are these ops,extreme ops
"We root for -LRB- Clara and Paul -RRB- , even like them , though perhaps it 's an emotion closer to pity .",1,we root for lrb clara and paul rrb even like them though perhaps it s an emotion closer to pity,root lrb clara paul rrb even like though perhaps emotion closer pity
No reason for anyone to invest their hard-earned bucks into a movie which obviously did n't invest much into itself either .,0,no reason for anyone to invest their hardearned bucks into a movie which obviously did nt invest much into itself either,reason anyone invest hardearned bucks movie obviously nt invest much either
Exactly what it claims to be -- a simple diversion for the kids .,2,exactly what it claims to be a simple diversion for the kids,exactly claims simple diversion kids
"Mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity .",2,mattei is tiresomely grave and longwinded as if circularity itself indicated profundity,mattei tiresomely grave longwinded circularity indicated profundity
"Rob Schneider 's infantile cross-dressing routines fill The Hot Chick , the latest gimmick from this unimaginative comedian .",1,rob schneider s infantile crossdressing routines fill the hot chick the latest gimmick from this unimaginative comedian,rob schneider infantile crossdressing routines fill hot chick latest gimmick unimaginative comedian
"It 's often faintly amusing , but the problems of the characters never become important to us , and the story never takes hold .",0,it s often faintly amusing but the problems of the characters never become important to us and the story never takes hold,often faintly amusing problems characters never become important us story never takes hold
The good thing -- the only good thing -- about Extreme Ops is that it 's so inane that it gave me plenty of time to ponder my Thanksgiving to-do list .,2,the good thing the only good thing about extreme ops is that it s so inane that it gave me plenty of time to ponder my thanksgiving todo list,good thing good thing extreme ops inane gave plenty time ponder thanksgiving todo list
"Liman , of Swingers and Go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",1,liman of swingers and go makes his bigbudget action film debut something of a clunker as he delivers a long lowheat chase interrupted by a middling car chase,liman swingers go makes bigbudget action film debut something clunker delivers long lowheat chase interrupted middling car chase
But there 's plenty to offend everyone ...,2,but there s plenty to offend everyone,plenty offend everyone
"Spider-Man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units .",1,spiderman is about growing strange hairs getting a more mature body and finding it necessary to hide new secretions from the parental units,spiderman growing strange hairs getting mature body finding necessary hide new secretions parental units
"You watch for that sense of openness , the little surprises .",1,you watch for that sense of openness the little surprises,watch sense openness little surprises
Impresses you with its open-endedness and surprises .,1,impresses you with its openendedness and surprises,impresses openendedness surprises
It 's a Frankenstein-monster of a film that does n't know what it wants to be .,0,it s a frankensteinmonster of a film that does nt know what it wants to be,frankensteinmonster film nt know wants
"A better title , for all concerned , might be Swept Under the Rug .",1,a better title for all concerned might be swept under the rug,better title concerned might swept rug
"Grant is certainly amusing , but the very hollowness of the character he plays keeps him at arms length",0,grant is certainly amusing but the very hollowness of the character he plays keeps him at arms length,grant certainly amusing hollowness character plays keeps arms length
"... mesmerizing , an eye-opening tour of modern Beijing culture in a journey of rebellion , retreat into oblivion and return .",1,mesmerizing an eyeopening tour of modern beijing culture in a journey of rebellion retreat into oblivion and return,mesmerizing eyeopening tour modern beijing culture journey rebellion retreat oblivion return
"Rather , you 'll have to wrestle disbelief to the ground and then apply the chloroform-soaked handkerchief .",1,rather you ll have to wrestle disbelief to the ground and then apply the chloroformsoaked handkerchief,rather wrestle disbelief ground apply chloroformsoaked handkerchief
"Two big things are missing -- anything approaching a visceral kick , and anything approaching even a vague reason to sit through it all .",2,two big things are missing anything approaching a visceral kick and anything approaching even a vague reason to sit through it all,two big things missing anything approaching visceral kick anything approaching even vague reason sit
"In its best moments , resembles a bad high school production of Grease , without benefit of song .",2,in its best moments resembles a bad high school production of grease without benefit of song,best moments resembles bad high school production grease without benefit song
"Meeting , even exceeding expectations , it 's the best sequel since The Empire Strikes Back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth .",1,meeting even exceeding expectations it s the best sequel since the empire strikes back a majestic achievement an epic of astonishing grandeur and surprising emotional depth,meeting even exceeding expectations best sequel since empire strikes back majestic achievement epic astonishing grandeur surprising emotional depth
"John Carlen 's script is full of unhappy , two-dimensional characters who are anything but compelling .",0,john carlen s script is full of unhappy twodimensional characters who are anything but compelling,john carlen script full unhappy twodimensional characters anything compelling
The timing in nearly every scene seems a half beat off .,1,the timing in nearly every scene seems a half beat off,timing nearly every scene seems half beat
... Liotta is put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario .,2,liotta is put in an impossible spot because his character s deceptions ultimately undo him and the believability of the entire scenario,liotta put impossible spot character deceptions ultimately undo believability entire scenario
Changing Lanes is an anomaly for a Hollywood movie ; it 's a well-written and occasionally challenging social drama that actually has something interesting to say .,1,changing lanes is an anomaly for a hollywood movie it s a wellwritten and occasionally challenging social drama that actually has something interesting to say,changing lanes anomaly hollywood movie wellwritten occasionally challenging social drama actually something interesting say
Noyce 's film is contemplative and mournfully reflective .,1,noyce s film is contemplative and mournfully reflective,noyce film contemplative mournfully reflective
"It 's too long , too repetitive , and takes way too many years to resolve to be a total winner .",1,it s too long too repetitive and takes way too many years to resolve to be a total winner,long repetitive takes way many years resolve total winner
Another boorish movie from the I-heard-a-joke - at-a-frat-party school of screenwriting .,1,another boorish movie from the iheardajoke atafratparty school of screenwriting,another boorish movie iheardajoke atafratparty school screenwriting
"From the big giant titles of the opening credits to Elmer Bernstein 's perfectly melodic score , Haynes gets just about everything right .",0,from the big giant titles of the opening credits to elmer bernstein s perfectly melodic score haynes gets just about everything right,big giant titles opening credits elmer bernstein perfectly melodic score haynes gets everything right
I loved it !,0,i loved it,loved
"The filmmakers want nothing else than to show us a good time , and in their cheap , B movie way , they succeed .",1,the filmmakers want nothing else than to show us a good time and in their cheap b movie way they succeed,filmmakers want nothing else show us good time cheap b movie way succeed
"Unless you are in dire need of a Diesel fix , there is no real reason to see it .",2,unless you are in dire need of a diesel fix there is no real reason to see it,unless dire need diesel fix real reason see
"Maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is .",1,maybe it is formula filmmaking but there s nothing wrong with that if the film is wellcrafted and this one is,maybe formula filmmaking nothing wrong film wellcrafted one
"Thanks largely to Williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film .",1,thanks largely to williams all the interesting developments are processed in minutes the rest is just an overexposed waste of film,thanks largely williams interesting developments processed minutes rest overexposed waste film
